season,year,medal,country_code,country,games,sport,event_gender,event_name
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,100m
Summer,1896,Silver,GER,Germany,1896 Athens,Athletics,Men's,100m
Summer,1896,Bronze,HUN,Hungary,1896 Athens,Athletics,Men's,100m
Summer,1896,Bronze,USA,United States,1896 Athens,Athletics,Men's,100m
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,400m
Summer,1896,Silver,USA,United States,1896 Athens,Athletics,Men's,400m
Summer,1896,Bronze,GBR,Great Britain,1896 Athens,Athletics,Men's,400m
Summer,1896,Gold,AUS,Australia,1896 Athens,Athletics,Men's,800m
Summer,1896,Silver,HUN,Hungary,1896 Athens,Athletics,Men's,800m
Summer,1896,Bronze,GRE,Greece,1896 Athens,Athletics,Men's,800m
Summer,1896,Gold,AUS,Australia,1896 Athens,Athletics,Men's,1500m
Summer,1896,Silver,USA,United States,1896 Athens,Athletics,Men's,1500m
Summer,1896,Bronze,FRA,France,1896 Athens,Athletics,Men's,1500m
Summer,1896,Gold,GRE,Greece,1896 Athens,Athletics,Men's,marathon
Summer,1896,Silver,GRE,Greece,1896 Athens,Athletics,Men's,marathon
Summer,1896,Bronze,HUN,Hungary,1896 Athens,Athletics,Men's,marathon
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,110m hurdles
Summer,1896,Silver,GBR,Great Britain,1896 Athens,Athletics,Men's,110m hurdles
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,long jump
Summer,1896,Silver,USA,United States,1896 Athens,Athletics,Men's,long jump
Summer,1896,Bronze,USA,United States,1896 Athens,Athletics,Men's,long jump
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,triple jump
Summer,1896,Silver,FRA,France,1896 Athens,Athletics,Men's,triple jump
Summer,1896,Bronze,GRE,Greece,1896 Athens,Athletics,Men's,triple jump
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,high jump
Summer,1896,Silver,USA,United States,1896 Athens,Athletics,Men's,high jump
Summer,1896,Silver,USA,United States,1896 Athens,Athletics,Men's,high jump
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,pole vault
Summer,1896,Silver,USA,United States,1896 Athens,Athletics,Men's,pole vault
Summer,1896,Bronze,GRE,Greece,1896 Athens,Athletics,Men's,pole vault
Summer,1896,Bronze,GRE,Greece,1896 Athens,Athletics,Men's,pole vault
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,shot put
Summer,1896,Silver,GRE,Greece,1896 Athens,Athletics,Men's,shot put
Summer,1896,Bronze,GRE,Greece,1896 Athens,Athletics,Men's,shot put
Summer,1896,Gold,USA,United States,1896 Athens,Athletics,Men's,discus throw
Summer,1896,Silver,GRE,Greece,1896 Athens,Athletics,Men's,discus throw
Summer,1896,Bronze,GRE,Greece,1896 Athens,Athletics,Men's,discus throw
Summer,1896,Gold,GRE,Greece,1896 Athens,Cycling Road,Men's,individual road race
Summer,1896,Silver,GER,Germany,1896 Athens,Cycling Road,Men's,individual road race
Summer,1896,Bronze,GBR,Great Britain,1896 Athens,Cycling Road,Men's,individual road race
Summer,1896,Gold,FRA,France,1896 Athens,Cycling Track,Men's,sprint individual
Summer,1896,Silver,GRE,Greece,1896 Athens,Cycling Track,Men's,sprint individual
Summer,1896,Bronze,FRA,France,1896 Athens,Cycling Track,Men's,sprint individual
Summer,1896,Gold,FRA,France,1896 Athens,Cycling Track,Men's,1/3km time trial
Summer,1896,Silver,GRE,Greece,1896 Athens,Cycling Track,Men's,1/3km time trial
Summer,1896,Bronze,AUT,Austria,1896 Athens,Cycling Track,Men's,1/3km time trial
Summer,1896,Gold,FRA,France,1896 Athens,Cycling Track,Men's,10km
Summer,1896,Silver,FRA,France,1896 Athens,Cycling Track,Men's,10km
Summer,1896,Bronze,AUT,Austria,1896 Athens,Cycling Track,Men's,10km
Summer,1896,Gold,FRA,France,1896 Athens,Cycling Track,Men's,100km
Summer,1896,Silver,GRE,Greece,1896 Athens,Cycling Track,Men's,100km
Summer,1896,Gold,AUT,Austria,1896 Athens,Cycling Track,Men's,12-hour race
Summer,1896,Silver,GBR,Great Britain,1896 Athens,Cycling Track,Men's,12-hour race
Summer,1896,Gold,FRA,France,1896 Athens,Fencing,Men's,foil individual
Summer,1896,Silver,FRA,France,1896 Athens,Fencing,Men's,foil individual
Summer,1896,Bronze,GRE,Greece,1896 Athens,Fencing,Men's,foil individual
Summer,1896,Bronze,GRE,Greece,1896 Athens,Fencing,Men's,foil individual
Summer,1896,Gold,GRE,Greece,1896 Athens,Fencing,Men's,"foil, masters"
Summer,1896,Silver,FRA,France,1896 Athens,Fencing,Men's,"foil, masters"
Summer,1896,Gold,GRE,Greece,1896 Athens,Fencing,Men's,sabre individual
Summer,1896,Silver,GRE,Greece,1896 Athens,Fencing,Men's,sabre individual
Summer,1896,Bronze,DEN,Denmark,1896 Athens,Fencing,Men's,sabre individual
Summer,1896,Gold,GER,Germany,1896 Athens,Gymnastics Artistic,Men's,"team, parallel bars"
Summer,1896,Silver,GRE,Greece,1896 Athens,Gymnastics Artistic,Men's,"team, parallel bars"
Summer,1896,Bronze,GRE,Greece,1896 Athens,Gymnastics Artistic,Men's,"team, parallel bars"
Summer,1896,Gold,GER,Germany,1896 Athens,Gymnastics Artistic,Men's,"team, horizontal bar"
Summer,1896,Gold,GER,Germany,1896 Athens,Gymnastics Artistic,Men's,parallel bars
Summer,1896,Silver,SUI,Switzerland,1896 Athens,Gymnastics Artistic,Men's,parallel bars
Summer,1896,Gold,GER,Germany,1896 Athens,Gymnastics Artistic,Men's,horizontal bar
Summer,1896,Silver,GER,Germany,1896 Athens,Gymnastics Artistic,Men's,horizontal bar
Summer,1896,Gold,GER,Germany,1896 Athens,Gymnastics Artistic,Men's,vault
Summer,1896,Silver,SUI,Switzerland,1896 Athens,Gymnastics Artistic,Men's,vault
